city,year,month,latitude,longitude,elevation_m,max_temp_c,min_temp_c,avg_temp_c,humidity_pct,wind_speed_ms,ndvi,ndwi,ndbi,population_density,emission_index,avg_building_height,urban_canyon_index,industrial_heat_factor,ac_thermal_exhaust,sensor_reliability,built_up_ratio,green_cover_ratio,water_cover_ratio,lst_day_mean,lst_night_mean,viirs_avg_radiance
Lucknow,2021,5,26.8467,80.9462,123,39.4,27.1,34.4,53.1,1.9,0.147,-0.35,0.18,11123,5.39,18.6,0.9,0.55,0.86,0.95,0.62,0.09,0.021,39.39,26.75,63.93
Lucknow,2021,6,26.8467,80.9462,123,40.4,26.5,35.4,57.0,2.3,0.21,-0.35,0.18,11123,5.39,18.6,0.9,0.55,0.86,0.95,0.62,0.09,0.021,40.4,28.22,65.41
Lucknow,2021,7,26.8467,80.9462,123,36.1,23.1,31.1,81.3,1.2,0.294,-0.21,0.18,11123,5.39,18.6,0.9,0.55,0.86,0.95,0.62,0.09,0.021,37.3,24.81,60.38
Lucknow,2021,8,26.8467,80.9462,123,36.6,23.8,31.6,76.8,1.4,0.294,-0.21,0.18,11123,5.39,18.6,0.9,0.55,0.86,0.95,0.62,0.09,0.021,37.23,25.07,63.66
Lucknow,2021,9,26.8467,80.9462,123,35.8,23.0,30.8,91.6,2.5,0.294,-0.21,0.18,11123,5.39,18.6,0.9,0.55,0.86,0.95,0.62,0.09,0.021,36.24,24.06,63.89
Lucknow,2021,10,26.8467,80.9462,123,31.3,16.7,26.3,48.2,0.8,0.21,-0.35,0.18,11123,5.39,18.6,0.9,0.55,0.86,0.95,0.62,0.09,0.021,31.59,19.01,62.57
Lucknow,2021,11,26.8467,80.9462,123,25.3,10.7,20.3,56.2,2.0,0.21,-0.35,0.18,11123,5.39,18.6,0.9,0.55,0.86,0.95,0.62,0.09,0.021,25.73,13.41,63.0
Lucknow,2021,12,26.8467,80.9462,123,19.8,5.2,14.8,59.1,2.4,0.21,-0.35,0.18,11123,5.39,18.6,0.9,0.55,0.86,0.95,0.62,0.09,0.021,20.37,8.15,60.9
Lucknow,2022,1,26.8467,80.9462,123,19.4,6.3,14.4,60.2,1.7,0.21,-0.35,0.18,11123,5.39,18.6,0.9,0.55,0.86,0.95,0.62,0.09,0.021,20.1,7.99,62.83
Lucknow,2022,2,26.8467,80.9462,123,23.2,11.1,18.2,60.5,0.7,0.21,-0.35,0.18,11123,5.39,18.6,0.9,0.55,0.86,0.95,0.62,0.09,0.021,23.93,11.13,62.74
Lucknow,2022,3,26.8467,80.9462,123,26.9,13.3,21.9,42.2,3.5,0.147,-0.35,0.18,11123,5.39,18.6,0.9,0.55,0.86,0.95,0.62,0.09,0.021,27.39,15.32,63.07
Lucknow,2022,4,26.8467,80.9462,123,34.8,21.5,29.8,33.4,4.4,0.147,-0.35,0.18,11123,5.39,18.6,0.9,0.55,0.86,0.95,0.62,0.09,0.021,35.83,23.54,62.85
Lucknow,2022,5,26.8467,80.9462,123,39.4,24.5,34.4,44.0,2.2,0.147,-0.35,0.18,11123,5.39,18.6,0.9,0.55,0.86,0.95,0.62,0.09,0.021,40.24,27.6,62.18
Lucknow,2022,6,26.8467,80.9462,123,42.0,30.0,37.0,65.1,1.4,0.21,-0.35,0.18,11123,5.39,18.6,0.9,0.55,0.86,0.95,0.62,0.09,0.021,42.22,30.18,60.16
Lucknow,2022,7,26.8467,80.9462,123,35.8,21.9,30.8,71.8,3.3,0.294,-0.21,0.18,11123,5.39,18.6,0.9,0.55,0.86,0.95,0.62,0.09,0.021,37.28,24.74,60.95
Lucknow,2022,8,26.8467,80.9462,123,34.3,22.1,29.3,73.1,2.4,0.294,-0.21,0.18,11123,5.39,18.6,0.9,0.55,0.86,0.95,0.62,0.09,0.021,34.15,21.47,62.93
Lucknow,2022,9,26.8467,80.9462,123,35.0,20.2,30.0,71.8,3.7,0.294,-0.21,0.18,11123,5.39,18.6,0.9,0.55,0.86,0.95,0.62,0.09,0.021,35.12,22.77,63.07
Lucknow,2022,10,26.8467,80.9462,123,29.9,17.5,24.9,50.3,2.7,0.21,-0.35,0.18,11123,5.39,18.6,0.9,0.55,0.86,0.95,0.62,0.09,0.021,30.51,17.94,61.84
Lucknow,2022,11,26.8467,80.9462,123,27.6,12.6,22.6,50.5,2.6,0.21,-0.35,0.18,11123,5.39,18.6,0.9,0.55,0.86,0.95,0.62,0.09,0.021,29.0,16.57,63.98
Lucknow,2022,12,26.8467,80.9462,123,21.9,7.6,16.9,53.3,2.9,0.21,-0.35,0.18,11123,5.39,18.6,0.9,0.55,0.86,0.95,0.62,0.09,0.021,21.17,8.26,61.48
Lucknow,2023,1,26.8467,80.9462,123,18.9,4.0,13.9,52.5,2.3,0.21,-0.35,0.18,11123,5.39,18.6,0.9,0.55,0.86,0.95,0.62,0.09,0.021,19.3,6.77,64.68
Lucknow,2023,2,26.8467,80.9462,123,22.2,7.8,17.2,64.3,2.6,0.21,-0.35,0.18,11123,5.39,18.6,0.9,0.55,0.86,0.95,0.62,0.09,0.021,23.76,11.54,59.23
Lucknow,2023,3,26.8467,80.9462,123,27.1,13.2,22.1,36.8,3.9,0.147,-0.35,0.18,11123,5.39,18.6,0.9,0.55,0.86,0.95,0.62,0.09,0.021,27.82,14.65,66.36
Lucknow,2023,4,26.8467,80.9462,123,35.0,20.6,30.0,25.5,2.1,0.147,-0.35,0.18,11123,5.39,18.6,0.9,0.55,0.86,0.95,0.62,0.09,0.021,35.07,22.59,63.93
Lucknow,2023,5,26.8467,80.9462,123,39.1,26.9,34.1,30.0,3.5,0.147,-0.35,0.18,11123,5.39,18.6,0.9,0.55,0.86,0.95,0.62,0.09,0.021,40.24,27.09,65.96
Lucknow,2023,6,26.8467,80.9462,123,40.2,27.5,35.2,60.5,1.7,0.21,-0.35,0.18,11123,5.39,18.6,0.9,0.55,0.86,0.95,0.62,0.09,0.021,41.25,28.94,63.8
Lucknow,2023,7,26.8467,80.9462,123,36.6,22.8,31.6,82.8,3.7,0.294,-0.21,0.18,11123,5.39,18.6,0.9,0.55,0.86,0.95,0.62,0.09,0.021,37.24,24.84,62.92
Lucknow,2023,8,26.8467,80.9462,123,34.8,21.0,29.8,67.4,1.6,0.294,-0.21,0.18,11123,5.39,18.6,0.9,0.55,0.86,0.95,0.62,0.09,0.021,34.99,22.74,59.91
Lucknow,2023,9,26.8467,80.9462,123,32.3,17.3,27.3,87.2,2.9,0.294,-0.21,0.18,11123,5.39,18.6,0.9,0.55,0.86,0.95,0.62,0.09,0.021,33.25,20.88,64.76
Lucknow,2023,10,26.8467,80.9462,123,31.6,18.4,26.6,54.1,3.0,0.21,-0.35,0.18,11123,5.39,18.6,0.9,0.55,0.86,0.95,0.62,0.09,0.021,32.25,19.38,63.5
Lucknow,2023,11,26.8467,80.9462,123,26.6,13.2,21.6,55.4,1.6,0.21,-0.35,0.18,11123,5.39,18.6,0.9,0.55,0.86,0.95,0.62,0.09,0.021,27.0,14.54,63.42
Lucknow,2023,12,26.8467,80.9462,123,22.0,8.4,17.0,57.7,1.4,0.21,-0.35,0.18,11123,5.39,18.6,0.9,0.55,0.86,0.95,0.62,0.09,0.021,21.42,9.05,64.94
Lucknow,2024,1,26.8467,80.9462,123,19.3,5.2,14.3,62.8,2.5,0.21,-0.35,0.18,11123,5.39,18.6,0.9,0.55,0.86,0.95,0.62,0.09,0.021,20.61,8.12,65.12
Lucknow,2024,2,26.8467,80.9462,123,24.5,11.0,19.5,52.8,2.6,0.21,-0.35,0.18,11123,5.39,18.6,0.9,0.55,0.86,0.95,0.62,0.09,0.021,24.42,11.77,59.35
Lucknow,2024,3,26.8467,80.9462,123,27.2,13.7,22.2,39.4,3.9,0.147,-0.35,0.18,11123,5.39,18.6,0.9,0.55,0.86,0.95,0.62,0.09,0.021,28.77,16.53,63.48
Lucknow,2024,4,26.8467,80.9462,123,35.5,23.0,30.5,43.7,2.6,0.147,-0.35,0.18,11123,5.39,18.6,0.9,0.55,0.86,0.95,0.62,0.09,0.021,36.51,23.54,62.57
Lucknow,2024,5,26.8467,80.9462,123,40.7,28.1,35.7,32.1,3.4,0.147,-0.35,0.18,11123,5.39,18.6,0.9,0.55,0.86,0.95,0.62,0.09,0.021,41.14,29.22,62.18
Lucknow,2024,6,26.8467,80.9462,123,39.3,24.7,34.3,49.4,2.2,0.21,-0.35,0.18,11123,5.39,18.6,0.9,0.55,0.86,0.95,0.62,0.09,0.021,39.78,26.55,62.61
Lucknow,2024,7,26.8467,80.9462,123,37.2,23.8,32.2,66.5,0.8,0.294,-0.21,0.18,11123,5.39,18.6,0.9,0.55,0.86,0.95,0.62,0.09,0.021,37.4,24.64,63.97
Lucknow,2024,8,26.8467,80.9462,123,37.4,23.8,32.4,77.4,1.2,0.294,-0.21,0.18,11123,5.39,18.6,0.9,0.55,0.86,0.95,0.62,0.09,0.021,38.06,25.22,62.87
Lucknow,2024,9,26.8467,80.9462,123,33.8,19.4,28.8,72.6,3.3,0.294,-0.21,0.18,11123,5.39,18.6,0.9,0.55,0.86,0.95,0.62,0.09,0.021,33.97,21.37,62.72
Lucknow,2024,10,26.8467,80.9462,123,33.5,20.6,28.5,46.7,1.8,0.21,-0.35,0.18,11123,5.39,18.6,0.9,0.55,0.86,0.95,0.62,0.09,0.021,33.31,20.77,67.56
Lucknow,2024,11,26.8467,80.9462,123,28.0,15.4,23.0,59.5,1.5,0.21,-0.35,0.18,11123,5.39,18.6,0.9,0.55,0.86,0.95,0.62,0.09,0.021,28.21,15.1,64.7
Lucknow,2024,12,26.8467,80.9462,123,20.5,5.6,15.5,53.1,1.3,0.21,-0.35,0.18,11123,5.39,18.6,0.9,0.55,0.86,0.95,0.62,0.09,0.021,20.39,7.69,57.81
Kanpur,2020,1,26.4499,80.3319,126,19.5,5.2,14.5,61.0,0.7,0.17,-0.28,0.22,8290,3.7,19.4,0.9,0.8,0.62,0.95,0.6,0.067,0.048,20.35,7.47,49.18
Kanpur,2020,2,26.4499,80.3319,126,22.4,9.5,17.4,57.1,1.3,0.17,-0.28,0.22,8290,3.7,19.4,0.9,0.8,0.62,0.95,0.6,0.067,0.048,23.6,10.64,50.81
Kanpur,2020,3,26.4499,80.3319,126,27.2,14.4,22.2,36.2,4.5,0.119,-0.28,0.22,8290,3.7,19.4,0.9,0.8,0.62,0.95,0.6,0.067,0.048,28.3,16.47,47.03
Kanpur,2020,4,26.4499,80.3319,126,36.4,21.9,31.4,45.8,3.3,0.119,-0.28,0.22,8290,3.7,19.4,0.9,0.8,0.62,0.95,0.6,0.067,0.048,37.09,24.66,48.8
Kanpur,2020,5,26.4499,80.3319,126,41.3,28.8,36.3,35.9,3.0,0.119,-0.28,0.22,8290,3.7,19.4,0.9,0.8,0.62,0.95,0.6,0.067,0.048,41.98,29.47,53.41
Kanpur,2020,6,26.4499,80.3319,126,41.0,27.7,36.0,64.6,1.7,0.17,-0.28,0.22,8290,3.7,19.4,0.9,0.8,0.62,0.95,0.6,0.067,0.048,41.98,29.63,45.83
Kanpur,2020,7,26.4499,80.3319,126,36.2,21.5,31.2,76.9,2.7,0.238,-0.168,0.22,8290,3.7,19.4,0.9,0.8,0.62,0.95,0.6,0.067,0.048,35.8,23.46,48.56
Kanpur,2020,8,26.4499,80.3319,126,33.7,19.8,28.7,79.7,1.7,0.238,-0.168,0.22,8290,3.7,19.4,0.9,0.8,0.62,0.95,0.6,0.067,0.048,33.83,21.26,50.58
Kanpur,2020,9,26.4499,80.3319,126,37.1,22.8,32.1,73.7,2.1,0.238,-0.168,0.22,8290,3.7,19.4,0.9,0.8,0.62,0.95,0.6,0.067,0.048,37.73,24.92,51.06
Kanpur,2020,10,26.4499,80.3319,126,32.3,18.1,27.3,61.1,1.3,0.17,-0.28,0.22,8290,3.7,19.4,0.9,0.8,0.62,0.95,0.6,0.067,0.048,32.98,20.57,52.82
Kanpur,2020,11,26.4499,80.3319,126,28.7,16.2,23.7,67.0,2.5,0.17,-0.28,0.22,8290,3.7,19.4,0.9,0.8,0.62,0.95,0.6,0.067,0.048,30.4,17.25,50.81
Kanpur,2020,12,26.4499,80.3319,126,21.4,7.3,16.4,55.9,2.6,0.17,-0.28,0.22,8290,3.7,19.4,0.9,0.8,0.62,0.95,0.6,0.067,0.048,22.25,10.39,49.84
Kanpur,2021,1,26.4499,80.3319,126,19.9,4.9,14.9,50.9,1.2,0.17,-0.28,0.22,8290,3.7,19.4,0.9,0.8,0.62,0.95,0.6,0.067,0.048,20.44,7.86,47.97
Kanpur,2021,2,26.4499,80.3319,126,22.3,8.7,17.3,46.9,0.7,0.17,-0.28,0.22,8290,3.7,19.4,0.9,0.8,0.62,0.95,0.6,0.067,0.048,24.38,11.88,49.07
Kanpur,2021,3,26.4499,80.3319,126,28.5,15.0,23.5,25.0,3.3,0.119,-0.28,0.22,8290,3.7,19.4,0.9,0.8,0.62,0.95,0.6,0.067,0.048,29.6,17.32,48.61
Kanpur,2021,4,26.4499,80.3319,126,35.7,23.4,30.7,37.3,2.4,0.119,-0.28,0.22,8290,3.7,19.4,0.9,0.8,0.62,0.95,0.6,0.067,0.048,37.34,24.63,52.41
Kanpur,2021,5,26.4499,80.3319,126,41.1,29.0,36.1,38.6,2.9,0.119,-0.28,0.22,8290,3.7,19.4,0.9,0.8,0.62,0.95,0.6,0.067,0.048,41.84,28.98,50.55
Kanpur,2021,6,26.4499,80.3319,126,40.2,27.7,35.2,65.0,0.5,0.17,-0.28,0.22,8290,3.7,19.4,0.9,0.8,0.62,0.95,0.6,0.067,0.048,42.89,29.9,53.03
Kanpur,2021,7,26.4499,80.3319,126,37.1,25.0,32.1,86.8,2.7,0.238,-0.168,0.22,8290,3.7,19.4,0.9,0.8,0.62,0.95,0.6,0.067,0.048,37.98,25.28,51.31
Kanpur,2021,8,26.4499,80.3319,126,37.7,25.4,32.7,71.9,2.6,0.238,-0.168,0.22,8290,3.7,19.4,0.9,0.8,0.62,0.95,0.6,0.067,0.048,38.13,25.26,50.45
Kanpur,2021,9,26.4499,80.3319,126,36.5,24.5,31.5,81.1,2.5,0.238,-0.168,0.22,8290,3.7,19.4,0.9,0.8,0.62,0.95,0.6,0.067,0.048,37.07,24.48,50.76
Kanpur,2021,10,26.4499,80.3319,126,32.4,18.5,27.4,42.5,2.5,0.17,-0.28,0.22,8290,3.7,19.4,0.9,0.8,0.62,0.95,0.6,0.067,0.048,32.55,20.42,47.77
Kanpur,2021,11,26.4499,80.3319,126,28.9,14.2,23.9,58.2,2.0,0.17,-0.28,0.22,8290,3.7,19.4,0.9,0.8,0.62,0.95,0.6,0.067,0.048,28.67,15.49,49.16
Kanpur,2021,12,26.4499,80.3319,126,23.0,8.0,18.0,56.4,1.9,0.17,-0.28,0.22,8290,3.7,19.4,0.9,0.8,0.62,0.95,0.6,0.067,0.048,23.42,11.16,54.56
Kanpur,2022,1,26.4499,80.3319,126,17.9,4.1,12.9,58.8,2.2,0.17,-0.28,0.22,8290,3.7,19.4,0.9,0.8,0.62,0.95,0.6,0.067,0.048,18.49,5.35,51.35
Kanpur,2022,2,26.4499,80.3319,126,23.9,11.4,18.9,50.0,2.0,0.17,-0.28,0.22,8290,3.7,19.4,0.9,0.8,0.62,0.95,0.6,0.067,0.048,23.97,11.46,49.93
Kanpur,2022,3,26.4499,80.3319,126,28.2,14.5,23.2,26.5,2.5,0.119,-0.28,0.22,8290,3.7,19.4,0.9,0.8,0.62,0.95,0.6,0.067,0.048,29.27,16.18,51.41
Kanpur,2022,4,26.4499,80.3319,126,37.8,24.3,32.8,34.2,3.6,0.119,-0.28,0.22,8290,3.7,19.4,0.9,0.8,0.62,0.95,0.6,0.067,0.048,39.6,26.84,50.44
Kanpur,2022,5,26.4499,80.3319,126,39.0,26.3,34.0,57.7,2.9,0.119,-0.28,0.22,8290,3.7,19.4,0.9,0.8,0.62,0.95,0.6,0.067,0.048,40.26,27.49,50.74
Kanpur,2022,6,26.4499,80.3319,126,43.9,29.1,38.9,49.2,1.8,0.17,-0.28,0.22,8290,3.7,19.4,0.9,0.8,0.62,0.95,0.6,0.067,0.048,44.72,32.22,48.07
Kanpur,2022,7,26.4499,80.3319,126,35.6,22.9,30.6,83.4,2.7,0.238,-0.168,0.22,8290,3.7,19.4,0.9,0.8,0.62,0.95,0.6,0.067,0.048,36.09,23.75,50.49
Kanpur,2022,8,26.4499,80.3319,126,40.2,25.3,35.2,80.2,1.8,0.238,-0.168,0.22,8290,3.7,19.4,0.9,0.8,0.62,0.95,0.6,0.067,0.048,36.78,24.1,51.89
Kanpur,2022,9,26.4499,80.3319,126,35.4,21.2,30.4,80.5,1.2,0.238,-0.168,0.22,8290,3.7,19.4,0.9,0.8,0.62,0.95,0.6,0.067,0.048,36.88,24.23,50.31
Kanpur,2022,10,26.4499,80.3319,126,34.6,20.8,29.6,61.9,2.2,0.17,-0.28,0.22,8290,3.7,19.4,0.9,0.8,0.62,0.95,0.6,0.067,0.048,35.23,22.44,53.14
Kanpur,2022,11,26.4499,80.3319,126,27.9,13.7,22.9,57.5,0.7,0.17,-0.28,0.22,8290,3.7,19.4,0.9,0.8,0.62,0.95,0.6,0.067,0.048,28.92,16.11,53.07
Kanpur,2022,12,26.4499,80.3319,126,19.2,5.2,14.2,39.5,1.0,0.17,-0.28,0.22,8290,3.7,19.4,0.9,0.8,0.62,0.95,0.6,0.067,0.048,19.97,7.23,47.56
Kanpur,2023,1,26.4499,80.3319,126,20.7,8.2,15.7,68.0,0.7,0.17,-0.28,0.22,8290,3.7,19.4,0.9,0.8,0.62,0.95,0.6,0.067,0.048,21.09,8.42,51.6
Kanpur,2023,2,26.4499,80.3319,126,22.9,8.6,17.9,52.0,1.1,0.17,-0.28,0.22,8290,3.7,19.4,0.9,0.8,0.62,0.95,0.6,0.067,0.048,23.1,10.27,48.98
Kanpur,2023,3,26.4499,80.3319,126,28.5,13.9,23.5,49.4,2.7,0.119,-0.28,0.22,8290,3.7,19.4,0.9,0.8,0.62,0.95,0.6,0.067,0.048,28.86,16.03,51.52
Kanpur,2023,4,26.4499,80.3319,126,36.8,23.6,31.8,31.5,3.6,0.119,-0.28,0.22,8290,3.7,19.4,0.9,0.8,0.62,0.95,0.6,0.067,0.048,37.21,24.44,50.82
Kanpur,2023,5,26.4499,80.3319,126,39.6,25.8,34.6,29.4,0.5,0.119,-0.28,0.22,8290,3.7,19.4,0.9,0.8,0.62,0.95,0.6,0.067,0.048,39.8,27.13,53.84
Kanpur,2023,6,26.4499,80.3319,126,41.0,27.0,36.0,56.9,2.2,0.17,-0.28,0.22,8290,3.7,19.4,0.9,0.8,0.62,0.95,0.6,0.067,0.048,41.03,28.68,51.61
Kanpur,2023,7,26.4499,80.3319,126,37.9,23.7,32.9,80.4,1.7,0.238,-0.168,0.22,8290,3.7,19.4,0.9,0.8,0.62,0.95,0.6,0.067,0.048,39.06,26.72,52.59
Kanpur,2023,8,26.4499,80.3319,126,38.2,24.3,33.2,79.0,2.0,0.238,-0.168,0.22,8290,3.7,19.4,0.9,0.8,0.62,0.95,0.6,0.067,0.048,36.2,23.43,50.31
Kanpur,2023,9,26.4499,80.3319,126,36.8,22.9,31.8,85.9,1.9,0.238,-0.168,0.22,8290,3.7,19.4,0.9,0.8,0.62,0.95,0.6,0.067,0.048,36.85,24.64,50.68
Kanpur,2023,10,26.4499,80.3319,126,33.3,20.3,28.3,56.1,1.4,0.17,-0.28,0.22,8290,3.7,19.4,0.9,0.8,0.62,0.95,0.6,0.067,0.048,34.24,21.71,49.88
Kanpur,2023,11,26.4499,80.3319,126,29.0,15.7,24.0,38.7,2.6,0.17,-0.28,0.22,8290,3.7,19.4,0.9,0.8,0.62,0.95,0.6,0.067,0.048,27.81,15.26,49.2
Kanpur,2023,12,26.4499,80.3319,126,22.7,9.9,17.7,64.0,3.0,0.17,-0.28,0.22,8290,3.7,19.4,0.9,0.8,0.62,0.95,0.6,0.067,0.048,22.89,9.57,51.13
Kanpur,2024,1,26.4499,80.3319,126,20.3,8.2,15.3,53.3,1.4,0.17,-0.28,0.22,8290,3.7,19.4,0.9,0.8,0.62,0.95,0.6,0.067,0.048,20.78,8.68,48.11
Kanpur,2024,2,26.4499,80.3319,126,22.1,7.8,17.1,57.2,1.8,0.17,-0.28,0.22,8290,3.7,19.4,0.9,0.8,0.62,0.95,0.6,0.067,0.048,21.92,9.7,50.09
Kanpur,2024,3,26.4499,80.3319,126,29.9,17.5,24.9,44.9,2.5,0.119,-0.28,0.22,8290,3.7,19.4,0.9,0.8,0.62,0.95,0.6,0.067,0.048,30.56,18.09,52.91
Kanpur,2024,4,26.4499,80.3319,126,36.2,21.8,31.2,24.1,4.1,0.119,-0.28,0.22,8290,3.7,19.4,0.9,0.8,0.62,0.95,0.6,0.067,0.048,36.95,24.83,50.17
Kanpur,2024,5,26.4499,80.3319,126,40.8,28.7,35.8,29.1,3.9,0.119,-0.28,0.22,8290,3.7,19.4,0.9,0.8,0.62,0.95,0.6,0.067,0.048,40.37,27.57,45.4
Kanpur,2024,6,26.4499,80.3319,126,41.9,29.9,36.9,59.2,3.4,0.17,-0.28,0.22,8290,3.7,19.4,0.9,0.8,0.62,0.95,0.6,0.067,0.048,42.44,29.77,50.24
Kanpur,2024,7,26.4499,80.3319,126,39.2,24.8,34.2,76.6,3.4,0.238,-0.168,0.22,8290,3.7,19.4,0.9,0.8,0.62,0.95,0.6,0.067,0.048,37.08,24.35,48.89
Kanpur,2024,8,26.4499,80.3319,126,36.9,22.8,31.9,78.3,1.5,0.238,-0.168,0.22,8290,3.7,19.4,0.9,0.8,0.62,0.95,0.6,0.067,0.048,37.57,24.78,50.8
Kanpur,2024,9,26.4499,80.3319,126,36.7,23.1,31.7,79.0,3.7,0.238,-0.168,0.22,8290,3.7,19.4,0.9,0.8,0.62,0.95,0.6,0.067,0.048,37.46,24.63,52.43
Kanpur,2024,10,26.4499,80.3319,126,32.1,18.4,27.1,54.8,3.7,0.17,-0.28,0.22,8290,3.7,19.4,0.9,0.8,0.62,0.95,0.6,0.067,0.048,32.84,20.24,48.19
Kanpur,2024,11,26.4499,80.3319,126,26.4,12.2,21.4,41.7,2.3,0.17,-0.28,0.22,8290,3.7,19.4,0.9,0.8,0.62,0.95,0.6,0.067,0.048,27.61,14.61,51.38
Kanpur,2024,12,26.4499,80.3319,126,22.9,8.2,17.9,63.6,2.0,0.17,-0.28,0.22,8290,3.7,19.4,0.9,0.8,0.62,0.95,0.6,0.067,0.048,22.2,9.26,47.13
Agra,2020,1,27.1767,78.0081,171,18.1,4.0,13.1,66.0,1.5,0.14,-0.38,0.25,11253,2.89,20.0,0.9,0.6,0.82,0.95,0.58,0.053,0.035,18.43,5.92,66.62
Agra,2020,2,27.1767,78.0081,171,23.6,10.5,18.6,61.2,0.5,0.14,-0.38,0.25,11253,2.89,20.0,0.9,0.6,0.82,0.95,0.58,0.053,0.035,24.71,11.87,62.96
Agra,2020,3,27.1767,78.0081,171,27.7,12.8,22.7,51.6,3.0,0.098,-0.38,0.25,11253,2.89,20.0,0.9,0.6,0.82,0.95,0.58,0.053,0.035,29.15,16.51,66.09
Agra,2020,4,27.1767,78.0081,171,37.9,24.0,32.9,24.4,3.1,0.098,-0.38,0.25,11253,2.89,20.0,0.9,0.6,0.82,0.95,0.58,0.053,0.035,38.01,25.18,62.07
Agra,2020,5,27.1767,78.0081,171,41.8,29.2,36.8,44.3,4.5,0.098,-0.38,0.25,11253,2.89,20.0,0.9,0.6,0.82,0.95,0.58,0.053,0.035,42.93,30.43,68.71
Agra,2020,6,27.1767,78.0081,171,43.2,30.3,38.2,60.9,1.9,0.14,-0.38,0.25,11253,2.89,20.0,0.9,0.6,0.82,0.95,0.58,0.053,0.035,44.2,31.28,66.36
Agra,2020,7,27.1767,78.0081,171,37.9,25.5,32.9,63.5,3.7,0.196,-0.228,0.25,11253,2.89,20.0,0.9,0.6,0.82,0.95,0.58,0.053,0.035,38.67,25.97,67.17
